Year,area of land covered by schemes (million hectares),Pollinating bee mean occupancy,Hoverfly mean occupancy,Butterfly Abundance (Unsmoothed) (Woodland),Butterfly Abundance (Unsmoothed) (Farmland),Functional connectivity of birds (Unsmoothed)
1992,0.31,106.06,109.90,117.14,110.04,103.36
1993,0.47,105.85,108.73,62.33,80.45,109.91
1994,0.62,105.91,107.65,67.72,92.16,109.73
1995,0.95,105.43,105.51,91.77,105.81,105.73
1996,1.09,104.48,102.54,91.77,107.53,105.48
1997,1.23,103.27,99.41,100.85,119.00,
1998,1.41,102.07,97.11,63.63,87.21,
1999,1.82,101.20,95.80,53.67,89.24,100.00
2000,2.07,100.50,94.80,58.30,89.24,96.33
2001,2.21,100.05,94.46,61.76,84.44,93.35
2002,2.48,100.28,94.75,62.04,79.35,71.02
2003,2.73,100.39,94.16,77.04,96.73,63.78
2004,2.82,100.02,92.75,77.39,95.84,47.86
2005,2.91,99.62,91.44,67.10,90.27,43.59
2006,3.06,98.92,90.34,69.94,93.23,52.85
2007,2.92,97.56,89.25,49.06,63.32,51.74
2008,2.65,95.82,88.07,44.95,58.69,46.23
2009,2.82,93.84,86.25,60.77,76.83,63.90
2010,3.13,91.26,83.16,78.47,86.41,78.29
2011,3.13,88.56,79.42,71.56,84.83,65.57
2012,3.37,86.13,75.96,40.15,50.88,66.01
2013,3.34,84.25,72.59,60.21,81.38,
2014,3.12,82.63,69.03,57.50,79.35,
2015,2.88,81.33,65.59,53.30,73.21,
2016,2.38,80.50,62.97,39.97,57.48,
2017,2.82,79.69,60.64,47.06,68.16,
2018,3.19,79.04,58.49,67.56,82.71,
2019,3.45,78.66,56.83,61.19,89.86,
2020,3.62,78.75,55.77,58.30,86.80,
2021,3.99,78.98,55.77,48.27,77.36,
2022,3.66,78.98,56.18,45.89,75.78,
